영문공항명,한글공항명,공항코드1(IATA),공항코드2(ICAO),지역,영문국가명,한글국가명,영문도시명
Birsa Munda Airport ,버사 문다 공항,IXR,VERC,아시아,India,인도,Ranchi
Bisha Domestic Airport,비샤 국내공항,BHH,OEBH,중동,Saudi Arabia,사우디아라비아,Bisha
Biskra Airport,비스크라 공항,BSK,DAUB,아프리카,Algeria,알제리,Oumache
Bismarck Municipal Airport,비스마르크 시공항,BIS,KBIS,북미,United States,미국,Bismarck ND
Blackpool Airport,블랙풀 공항,BLK,EGNH,유럽,United Kingdom,영국,Blackpool
Blaise Diagne International Airport,블레즈 디아뉴 국제공항,DSS,GOBD,아프리카,Senegal,세네갈,Diass
Blang Bintang Airport,발랑 빈탕 공항,BTJ,WITT,아시아,Indonesia,인도네시아,Banda Aceh
Bloemfontein International Airport,블룸폰테인 국제공항,BFN,FABL,아프리카,South Africa,남아프리카,Bloemfontein
Blois Le Breuil Airport,블루아 르 브뢰일 공항,XBQ,LFOQ,유럽,France,프랑스,Blois / Le Breuil
Blue Danube Airport ,블루 다뉴브 공항 ,LNZ,LOWL,유럽,Austria,오스트리아,Linz
Blue Grass Airport,블루 그래스 공항,LEX,KLEX,북미,United States,미국,Lexington KY
Boa Vista International Airport,보아비스타 국제공항,BVB,SBBV,중남미,Brazil,브라질,Boa Vista
Bob Hope Airport,밥 호프 공항,BUR,KBUR,북미,United States,미국,Burbank CA
Bodo Airport,보되 공항,BOO,ENBO,유럽,Norway,노르웨이,Bodo
Bogashevo Airport,보가쉐프 공항,TOF,UNTT,유럽,Russia,러시아,Tomsk
Bogorodskoye Airport,보고로드스코예 공항,BQG,UHNB,유럽,Russia,러시아,Bogorodskoye 
Boise Air Terminal ,보이시 에어터미널 ,BOI,KBOI,북미,United States,미국,Boise ID
Bojnord Airport,버지노르드 공항,BJB,OIMN,중동,Iran,이란,Bojnoord
Bole Airport,보울 공항,ADD,HAAB,아프리카,Ethiopia,이디오피아,Addis Ababa
Bole Alashankou Airport,Bole Alashankou Airport,BPL,ZWBL,아시아,China,중국,Bole
Bolshoye Savino Airport,볼쇼이 사비노 공항,PEE,USPP,유럽,Russia,러시아,Perm
Bordeaux - Merignac Airport,보르도 메리낙 공항,BOD,LFBD,유럽,France,프랑스,Bordeaux
Bordj Mokhtar Airport,보 목타르 공항,BMW,DATM,아프리카,Algeria,알제리,Bordj Baji Mokhtar
Borg El Arab Airport,보르헤 헬 아랍 공항,HBE,HEBA,아프리카,Egypt,이집트,Borg El Arab
Borgo Airport,보르고 공항,BOY,DFOO,아프리카,Burkina Faso,부르키나 파소,Bobo Dioulasso
Borinquen Airport,보링겐 공항,BQN,TJBQ,중남미,Puerto Rico,푸에르토리코,Aguadilla
Borispol Airport,보르스폴 공항,KBP,UKBB,유럽,Ukraine,우크라이나,Kiev
Borjhar Airport,보리쟈 공항,GAU,VEGT,아시아,India,인도,Guwahati
Bornholm Airport,본홀름 공항,RNN,EKRN,유럽,Denmark,덴마크,Bornholm
Borongan Airport,보롱간 공항,BPR,RPVW,아시아,Philippines,필리핀,Borongan
Bossembele Airport,보셈벨레 공항,BEM,FEFL,아프리카,Morocco,모로코,Beni Mellal
Bouarfa Airport,Bouarfa 공항,UAR,GMFB,아프리카,Morocco,모로코,Bouarfa
Bouchekif Airport,부체키프 공항,TID,DAOB,아프리카,Algeria,알제리,Tiaret
Boukhaif / Tanger Airport,뷰카이프 / 탕게르 공항,TNG,GMTT,아프리카,Morocco,모로코,Tanger
Bourges Airport,부르지스 공항,BOU,LFLD,유럽,France,프랑스,Bourges
Bournemouth International Airport,본머스 국제공항,BOH,EGHH,유럽,United Kingdom,영국,Bournemouth
Bowman Field,보우먼 필드,LOU,KLOU,북미,United States,미국,Louisville KY
Bradley International Airport,브래들리 국제공항,BDL,KBDL,북미,United States,미국,Hartford CT
Brasilia International Airport,브라질리아 국제공항,BSB,SBBR,중남미,Brazil,브라질,Brasilia
Bremen Airport,브레멘 공항,BRE,EDDW,유럽,Germany,독일,Bremen
Brie-Champniers Airport,브리에 샹프니에 공항,ANG,LFBU,유럽,France,프랑스,Angouleme
Brindisi Salento Airport ,브린디시 살렌토 ,BDS,LIBR,유럽,Italy,이탈리아,Brindisi
Bringeland Airport,브린절랜드 공항,FDE,ENBL,유럽,Norway,노르웨이,Forde
Brisbane International Airport,브리즈번 국제공항,BNE,YBBN,대양주,Australia,오스트레일리아,Brisbane
Bristol International Airport,브리스틀 국제공항,BRS,EGGD,유럽,United Kingdom,영국,Bristol
Brive / Souillac Airport,브리브 / 수이락 공항,BVE,LFSL,유럽,France,프랑스,Brive-la-Gaillarde
Brnik Airport,브르니크 공항,LJU,LJLJ,유럽,Slovenia,슬로베니아,Ljubljana
Broken Hill Airport,브로큰힐 공항,BHQ,YBHI,대양주,Australia,오스트레일리아,Broken Hill
Bromma Airport,브로마 공항,BMA,ESSB,유럽,Sweden,스웨덴,Stockholm
Bronnoy Airport,브로노이 공항,BNN,ENBN,유럽,Norway,노르웨이,Bronnoysund
Broome International Airport,브룸 국제공항,BME,YBRM,대양주,Australia,오스트레일리아,Broome
Brownsville / South Padre Island International Airport,브라운스빌 사우스 파드레 아일랜드 국제공항,BRO,KBRO,북미,United States,미국,Brownsville TX
Brunswick Golden Isles Airport,브런즈윅 골든 아일스 공항,BQK,KBQK,북미,United States,미국,Brunswick GA
Brussels Airport ,브뤼셀 내셔널 공항,BRU,EBBR,유럽,Belgium,벨기에,Brussels
Buayan Airport,부야안 공항,GES,RPMB,아시아,Philippines,필리핀,General Santos
Bucharest Aurel Vlaicu International Airport ,부쿠레슈티 아우렐 블래쿠 국제공항 ,BBU,LRBS,유럽,Romania,루마니아,Bucharest
Bucharest Henri Coanda International Airport ,부쿠레슈티 헨리 코언다 국제공항 ,OTP,LROP,유럽,Romania,루마니아,Bucharest
Buenaventura Airport,부에나벤투라 공항,BUN,SKBU,중남미,Colombia,콜롬비아,Buenaventura
Buffalo Niagara International Airport,버펄로 나이아가라 국제공항,BUF,KBUF,북미,United States,미국,Buffalo NY
Bugulma Airport,부굴마 공항,UUA,UWKB,유럽,Russia,러시아,Bugulma
Bujumbura International Airport,부줌부라 국제공항,BJM,HBBA,아프리카,Burundi,부룬디,Bujumbura
Bukhara Airport,부하라한국 공항,BHK,UTSB,아시아,Uzbekistan,우즈베키스탄,Bukhara
Bukoba Airport,부코바 공항,BKZ,HTBU,아프리카,Tanzania,탄자니아,Bukoba
Bundaberg Airport,번다버그 공항,BDB,YBUD,대양주,Australia,오스트레일리아,Bundaberg
Burgas International Airport ,부르가스 국제공항 ,BOJ,LBBG,유럽,Bulgaria,불가리아,Bourgas
Burgos Airport,부르고스 공항,RGS,LEBG,유럽,Spain,스페인,Burgos
Buriram Airport,부리람 공항,BFV,VTUO,아시아,Thailand,태국,Buriram
Burlington International Airport,벌링턴 국제공항,BTV,KBTV,북미,United States,미국,Burlington VT
Burnie Wynyard Airport,버니 윈야드 공항,BWT,YWYY,대양주,Australia,오스트레일리아,Burnie
Bushehr Airport,부쉐르 공항,BUZ,OIBB,중동,Iran,이란,Booshehr
Busuanga Airport ,부수앙가 공항,USU,RPVV,아시아,Philippines,필리핀,Coron
Butmir Airport,부트미르 공항,SJJ,LQSA,유럽,Bosnia and Herzegovina,보스니아 헤르체고비나,Sarajevo
Butuan Airport,부투안 공항,BXU,RPME,아시아,Philippines,필리핀,Butuan
Bydgoszcz Ignacy Jan Paderewski Airport,비드고슈치 이그냐시 잔 파데레프스키 공항,BZG,EPBY,유럽,Poland,폴란드,Bydgoszcz
Ca Mau Airport,카마우 공항,CAH,VVCM,아시아,Viet Nam,베트남,Ca Mau Province
Cabinda Airport,카빈다 공항,CAB,FNCA,아프리카,Angola,앙골라,Cabinda 
Cadjehoun Airport,캐드훈 공항,COO,DBBB,아프리카,Benin,베냉,Cotonou
Cahors Lalbenque Airport,카오르 공항,ZAO,LFCC,유럽,France,프랑스,Cahors / Lalbenque
Cairns International Airport,케언스 국제공항,CNS,YBCS,대양주,Australia,오스트레일리아,Cairns
Cairo International Airport,카이로 국제공항,CAI,HECA,아프리카,Egypt,이집트,Cairo
Calais - Dunkerque Airport,칼레덩케르크 공항,CQF,LFAC,유럽,France,프랑스,Calais / Dunkerque
Calapan Airport,칼라판 공항,CPP,SCKP,아시아,Philippines,필리핀,Calapan
Calbayog Airport,칼바욕 공항,CYP,RPVC,아시아,Philippines,필리핀,Calbayog
Calgary International Airport,캘거리 국제공항,YYC,CYYC,북미,Canada,캐나다,Calgary AB
Calicut International Airport ,칼리컷 국제공항 ,CCJ,VOCL,아시아,India,인도,Calicut
Cam Ranh Airport,캄 라흐 공항,CXR,VVCR,아시아,Viet Nam,베트남,Nha Trang
Cambridge Airport,케임브리지 공항,CBG,EGSC,유럽,United Kingdom,영국,Cambridge
Camilo Dazo International Airport,카밀로 다조 공항,CUC,SKCC,중남미,Colombia,콜롬비아,Cucuta
Campeche International Airport,캄페체 국제공항,CPE,MMCP,중남미,Mexico,멕시코,Campeche
Campo Grande International Airport,캄푸그란데 국제공항,CGR,SBCG,중남미,Brazil,브라질,Campo Grande
Canakkale Airport,차나칼레 공항,CKZ,LTBH,유럽,Turkey,터키,Canakkale
Canberra International Airport,캔버라 국제공항,CBR,YSCB,대양주,Australia,오스트레일리아,Canberra
Cancun International Airport,캔쿤 국제공항,CUN,MMUN,중남미,Mexico,멕시코,Cancun
Cangyuan Washan Airport,Cangyuan Washan 공항,CWJ,ZPCW,아시아,Hong Kong,홍콩,Lincang
Cano Airport ,캐노 공항 ,PSO,SKPS,중남미,Colombia,콜롬비아,Pasto
Cap Skiring Airport,캡스컬링 공항,CSK,GOGS,아프리카,Senegal,세네갈,Cap Skirring
Cape Town International Airport,케이프타운 국제공항,CPT,FACT,아프리카,South Africa,남아프리카,Cape Town
Capitan Carlos Rovirosa Perez Airport,카피탄 카를로스 로비로사 공항,VSA,MMVA,중남미,Mexico,멕시코,Villahermosa
Capitan Corbeta CA Curbelo International Airport,캡튼 코르베타 CA 쿠르벨로 국제공항,PDP,SULS,중남미,Uruguay,우루과이,Punta del Este
Capitan FAP Carlos Martinez de Pinillos Airport,카피탄 FAP 카를로스 마르티네즈 데 피닐로스 공항,TRU,SPRU,중남미,Peru,페루,Trujillo
Capitan FAP Guillermo Concha Iberico Airport,카피탄 FAP 길레르모 콘챠 이베리코 공항,PIU,SPUR,중남미,Peru,페루,Piura
Capitan FAP Pedro Canga Rodriguez Airport,카피탄 FAP 페드로 캉가 로드리게즈 공항,TBP,SPME,중남미,Peru,페루,Tumbes
Capitan FAP Renan Elias Olivera Airport,카피탄 FAP 레난 엘리아스 올리베라 공항,PIO,SPSO,중남미,Peru,페루,Pisco
Capitan FAP Victor Montes Arias,카피탄 FAP 빅토르 몬테즈 아리아스 공항,TYL,SPYL,중남미,Peru,페루,Talara
Capitan Rolden Airport,카피탄 롤덴 공항,PCL,SPCL,중남미,Peru,페루,Pucallpa
Capitan Vicente Almandos Amonacide Airport,카피탄 빈센트 알만도스 아모나시드 공항,IRJ,SANL,중남미,Argentina,아르헨티나,La Rioja
Capitolio Airport ,카피톨리오 공항 ,FLA,SKFL,중남미,Colombia,콜롬비아,Florencia
Capurgana Airport,카퍼가나 공항,CPB,SKCA,중남미,Colombia,콜롬비아,Capurgana
Carajas Airport,카라쟈스 공항,CKS,SBCJ,중남미,Brazil,브라질,Carajas
Cardak Airport,차르닥 공항,DNZ,LTAY,유럽,Turkey,터키,Cardak
Cardiff International Airport,카디프 국제공항,CWL,EGFF,유럽,United Kingdom,영국,Cardiff
Carlisle Airport,칼라일 공항,CAX,EGNC,유럽,United Kingdom,영국,Carlisle
Carnarvon Airport,카나번 공항,CVQ,YCAR,대양주,Australia,오스트레일리아,Carnarvon
Carpiquet Airport,카르피께 공항,CFR,LFRK,유럽,France,프랑스,Caen
Carrasco Airport,체러스코 공항,MVD,SUMU,중남미,Uruguay,우루과이,Montevideo
Carsamba Airport,챨삼바 공항,SZF,LTFH,유럽,Turkey,터키,Samsun
Caruru Airport,카루 공항,CUO,SKCR,중남미,Colombia,콜롬비아,Caruru
Casselman Airport,카젤만공항,XZB,LEPZ,유럽,France,프랑스,Saint-Cyr-lEcole
Castro Pinto Airport,카스트로 핀토 공항,JPA,SBJP,중남미,Brazil,브라질,Joao Pessoa
Cataratas International Airport ,카타라타스 국제공항 ,IGR,SARI,중남미,Argentina,아르헨티나,Iguazu
Catarman National Airport,카타르만 내셔널 공항,CRM,RPVF,아시아,Philippines,필리핀,Catarman
Catbi Airport,카트비 공항,HPH,VVCI,아시아,Viet Nam,베트남,Hai Phong
Catumbela Airport,카툼벨라 공항,CBT,FNCT,아프리카,Angola,앙골라,Catumbela 
Cauayan Airport,카우아얀 공항,CYZ,RPUY,아시아,Philippines,필리핀,Cauayan
Caucasia Airport,코카시아 공항,CAQ,SKCU,중남미,Colombia,콜롬비아,Caucasia
Caucay Airport,코카야 공항,LQM,SKLG,중남미,Colombia,콜롬비아,Puerto Leguizamo
Cavancha Airport,카라반챠 공항,IQQ,SCDA,중남미,Chile,칠레,Iquique
Ceduna Airport,세두나 공항,CED,YCDU,대양주,Australia,오스트레일리아,Ceduna
Cengiz Topel Naval Air Station,Cengiz Topel 해군 비행장,KCO,LTBQ,유럽,Turkey,터키,Kocaeli
Central Illinois Regional Airport ,센트럴 일리노이스 지역공항,BMI,KBMI,북미,United States,미국,Bloomington IL
Central Wisconsin Airport,센트럴 위스콘신 공항,CWA,KCWA,북미,United States,미국,Mosinee WI
Cergy Pontoise Airport ,세르지 퐁트와즈 공항 ,POX,LFPT,유럽,France,프랑스,Pontoise
Cerro Moreno Airport,세로 모레노 공항,ANF,SCFA,중남미,Chile,칠레,Antofagasta
Ceuta Heliport,세우타 헬리포트,JCU,GECE,유럽,Spain,스페인,Ceuta
Cha Ian Airport,챠 란 공항,NST,VTSN,아시아,Thailand,태국,Nakhon Si Thammarat
Chabeuil Airport,샤뵈이 공항,VAF,LFLU,유럽,France,프랑스,Valence
Chabua Airport,츄부아 공항,DIB,VEMN,아시아,India,인도,Dibrugarh
Chacalluta Airport,챠깔루타 공항,ARI,SCAR,중남미,Chile,칠레,Arica
Chachapoyas Airport,차차포야스 공항,CHH,SPPY,중남미,Peru,페루,Chachapoyas
Chakeri Air Force Station,챠케리 공군기지,KNU,VICX,아시아,India,인도,Kanpur
Chalon-Champforgeuil Airport,샬롱-Champforgeuil 공항,XCD,LFLH,유럽,France,프랑스,Chalon
Chalons Vatry Airport,샬롱 배트리 공항,XCR,LFOK,유럽,France,프랑스,Vatry
Chambery Aix-les-Bains Airport,샹베리 액스레뱅 공항,CMF,LFLB,유럽,France,프랑스,Chambery
Chandigarh Airport / Chandigarh Air Force Base,찬디가르 공항,IXC,VICG,아시아,India,인도,Chandigarh
Changbaishan Airport,창바이산 공항,NBS,ZYBS,아시아,China,중국,Changbai
Changchun Dafangshen International Airport,창춘 다팡쉔 국제공항,CGQ,ZYCC,아시아,China,중국,Changchun
Changde Taohuayuan Airport,창덕 타오화원 공항,CGD,ZGCD,아시아,China,중국,Changde
Changhai Airport,창 하이 공항,CNI,ZYCH,아시아,China,중국,Changhai
Changi Airport,창이 공항,SIN,WSSS,아시아,Singapore,싱가포르,Singapore
Changsha Huanghua International Airport,창사 황화 국제공항,CSX,ZGHA,아시아,China,중국,Changsha
Changzhi Airport,창즈 공항,CIH,ZBCZ,아시아,China,중국,Changzhi
Changzhou Airport,창저우 공항,CZX,ZSCG,아시아,China,중국,Changzhou
Chaoyang Airport,조양 공항,CHG,ZYCY,아시아,China,중국,Chaoyang
Charif al Idrissi Airport,샤리프 알 잇드리시 공항,AHU,GMTA,아프리카,Morocco,모로코,Al Hoceima
Charleroi Airport ,챨레로이 공항 ,CRL,EBCI,유럽,Belgium,벨기에,Charleroi
Charles De Gaulle Airport,샤를 드 골 공항,CDG,LFPG,유럽,France,프랑스,Paris
Charleston International Airport ,찰스턴 국제공항 ,CHS,KCHS,북미,United States,미국,Charleston SC
Charleville Airport,샤를빌 공항,CTL,YBCV,대양주,Australia,오스트레일리아,Charleville
Charlotte / Douglas International Airport,샬럿 더글라스 국제공항,CLT,KCLT,북미,United States,미국,Charlotte NC
Charlottesville-Albemarle Airport,샤로트빌 앨버마를 공항,CHO,KCHO,북미,United States,미국,Charlottesville VA
Charlottetown Airport,샬롯타운 공항,YYG,CYYG,북미,Canada,캐나다,Charlottetown PE
Chateauroux-Deols Airport,샤토룩스 데올 공항,CHR,LFLX,유럽,France,프랑스,Chateauroux
Chattanooga Metropolitan Airport,채터누가 메트로폴피탄 공항,CHA,KCHA,북미,United States,미국,Chattanooga TN
Chavenay - Villepreux Airport,샤브네 - 빌프뢰 공항,XZX,LFPX,유럽,France,프랑스,Chavenay / Villepreux 
Cheboksary Airport,체복사리 공항,CSY,UWKS,유럽,Russia,러시아,Cheboksary
Cheddi Jagan International Airport ,체디 자간 국제공항 ,GEO,SYCJ,중남미,Guyana,가이아나,Georgetown
Chengde Puning Airport,승덕푸닝 공항,CDE,ZBCD,아시아,China,중국,Chengde
Chengdu Shuangliu International Airport,청두 슈앙리우 국제공항,CTU,ZUUU,아시아,China,중국,Chengdu
Chennai International Airport,첸나이 국제공항,MAA,VOMM,아시아,India,인도,Madras
Cheongju International Airport,청주 국제공항,CJJ,RKTU,아시아,Republic of Korea,대한민국,Cheongju
Chernivtsi Airport,체르노브시 공항,CWC,UKLN,유럽,Ukraine,우크라이나,Chernovtsy
Chertovitskoye Airport,체르토비츠코예 공항,VOZ,UUOO,유럽,Russia,러시아,Voronezh
Chetumal International Airport,체투말 국제공항,CTM,MMCM,중남미,Mexico,멕시코,Chetumal
Chhatrapati Shivaji International Airport,채해트라피티 시버지 국제공항,BOM,VABB,아시아,India,인도,Mumbai
Chiang Mai International Airport,치앙마이 국제공항,CNX,VTCC,아시아,Thailand,태국,Chiang Mai
Chiang Rai International Airport,치앙라이 국제공항,CEI,VTCT,아시아,Thailand,태국,Chiang Rai
Chiayi Airport,자이 공항,CYI,RCKU,아시아,Chinese Taipei,대만,Shuishang 
Chicago Midway Airport,시카고 미드웨이 공항,MDW,KMDW,북미,United States,미국,Chicago IL
Chicago Rockford Airport,시카고 록퍼드 공항,RFD,KRFD,북미,United States,미국,Rockford IL
Chifeng Airport,츠펑 공항,CIF,ZBCF,아시아,China,중국,Chifeng
Chikkalthana Airport,티칼타나 공항,IXU,VAAU,아시아,India,인도,Aurangabad
Chimoio Airport,치모이오 공항,VPY,FQCH,아프리카,Mozambique,모잠비크,Chimoio
Chinggis Khaan International Airport,칭지스 칸 국제공항,ULN,ZMUB,아시아,Mongolia,몽고,Ulaanbaatar
Chisinau International Airport,키시나우 국제공항,KIV,LUKK,유럽,Moldova,몰도바,Chisinau
Chitose Airport,치토세 공항,CTS,RJCC,아시아,Japan,일본,Sapporo
Chitral Airport,치트랄 공항,CJL,OPCH,아시아,Pakistan,파키스탄,Chitral
Chizhou Jiuhuashan Airport,Chizhou Jiuhuashan 공항,JUH,ZSJH,아시아,China,중국,Chizhou
Chlef International Airport,클레프 국제공항,CFK,DAOI,아프리카,Algeria,알제리,Chlef 
Cholet Le Pontreau Airport,쵸렛 르 폰트로 공항,CET,LFOU,유럽,France,프랑스,Cholet / Le Pontreau
Chongqing Jiangbei International Airport,충칭 지엥바이 국제공항,CKG,ZUCK,아시아,China,중국,Chongqing
Chongqing Wushan Airport,충칭 우산 공항,WSK,ZUWS,아시아,China,중국,Chongqing 
Chongqing Xiannushan Airport,충칭 셴뉘산 공항,CQW,ZUWL,아시아,China,중국,Chongqing 
